1st March 2019,7 Nights,Marella Dream,Santa Cruz (Tenerife) : Las Palmas (Gran Canaria) : Santa Cruz (Tenerife) : Funchal (Madeira) : Agadir (Morocco) : Arrecife (Lanzarote) : Santa Cruz (Tenerife) ,819,Spain - Portugal - Morocco
2nd March 2019,7 Nights,Marella Dream,Las Palmas (Gran Canaria) : Funchal (Madeira) : Agadir (Morocco) : Arrecife (Lanzarote) : Santa Cruz (Tenerife) : Las Palmas (Gran Canaria) ,773,Spain - Portugal - Morocco
3rd March 2019,7 Nights,MSC Meraviglia ,Civitavecchia (Italy) : Palermo (Italy) : Valletta (Malta) : Barcelona (Spain) : Marseille (France) : Genoa (Italy) : Civitavecchia (Italy),538,Italy - Spain - France
3rd March 2019,12 Nights,MSC Sinfonia,Marseille (France) : Barcelona (Spain) : Funchal (Portugal) : Santa Cruz (Tenerife) : Tengier (Morocco) : Catagena (Spain) : Civitavecchia (Italy) : Genoa (Italy) : Marseille (France),734,France - Spain - Portugal - Morocco - Italy
4th March 2019,12 Nights,MSC Sinfonia,Barcelona (Spain) : Funachal (Portugal) : Santa Cruz (Tenerife) : Tangier (Morocco) : Cartagena (Spain) : Civitavecchia (Italy) : Genoa (Italy) : Marseille (France) : Barcelona (Spain),783,Spain - Portugal - Morocco - Italy - France
4th March 2019,8 Nights,MSC Bellissima,Bellissima Southampton (UK) : La Coruna (Spain) : Lisbon (Portugal) : Valencia (Spain) : Barcelona (Spain) ,999,UK - Spain - Portugal
4th March 2019,10 Nights,MSC Bellissima,Southampton (UK) : La Coruna (Spain) : Lisbon (Portugal) : Valencia (Spain) : Barcelona (Spain) : Marseille (France) : Genoa (Italy),1028,UK - Spain - Portugal - France - Italy
